Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff,LAST 2 WEEKS: W,LAST 2 WEEKS: L,LAST 2 WEEKS: Point Diff Rank,LAST 2 WEEKS: Point Diff,LAST 2 WEEKS: Offense Rank,LAST 2 WEEKS: Offense,LAST 2 WEEKS: Defense Rank,LAST 2 WEEKS: Defense,LAST 2 WEEKS: Spread Diff Rank,LAST 2 WEEKS: Spread Diff
Boston,1,8.2,22,7,75.9%,59.9,21.2,9,0.8,1,119.8,8,111.6,10,1.3,4,3,8,3.4,26,109.9,4,106.5,17,-1.3
Denver,10,2.1,17,10,63.0%,46.1,15.2,3,1.8,2,118.4,28,116.3,24,-2.5,3,3,20,-1.2,4,119.4,27,120.6,26,-6.2
Utah,12,1.6,16,14,53.3%,44.9,16.4,17,-0.4,3,116.9,26,115.3,5,3.1,3,3,10,2.3,10,114.6,14,112.3,7,3.6
Phoenix,6,3.3,16,12,57.1%,49.1,16.8,20,-0.8,4,116.4,14,113.1,18,-0.4,1,6,28,-8.9,17,112.3,29,121.2,30,-9.1
New Orleans,2,5.9,18,9,66.7%,55.4,18.2,16,-0.2,5,115.7,3,109.8,2,3.2,5,1,5,5.9,7,114.8,6,108.9,13,1.5
Dallas,8,2.3,14,14,50.0%,46.6,15.9,28,-1.9,6,115.7,17,113.5,25,-2.5,4,4,11,2.2,3,119.6,23,117.4,22,-1.9
Portland,14,0.9,16,12,57.1%,43.3,14.8,7,1.2,7,115.4,22,114.5,3,3.2,5,1,2,12.3,1,125.6,16,113.3,4,7.9
Sacramento,13,1.4,15,12,55.6%,44.6,14.7,12,0.3,8,115.3,21,113.9,1,3.3,4,3,18,-0.4,22,111.4,12,111.8,8,2.6
Memphis,5,5.3,18,9,66.7%,54.0,17.8,13,0.2,9,115.3,4,110.0,16,0.5,6,0,1,15.7,5,116.9,1,101.2,3,8.2
Golden State,9,2.3,14,15,48.3%,46.6,16.5,30,-2.5,10,114.8,12,112.6,28,-3.3,3,4,12,2.0,18,112.3,9,110.3,18,-1.4
Brooklyn,11,1.9,17,12,58.6%,45.7,16.2,8,0.8,11,114.5,11,112.6,20,-1.1,5,1,9,2.6,6,115.3,15,112.7,11,1.6
Cleveland,4,5.4,18,11,62.1%,54.4,19.3,24,-1.3,12,114.0,2,108.6,4,3.1,4,3,7,4.1,27,109.8,3,105.6,19,-1.4
New York,16,0.5,15,13,53.6%,42.3,14.4,10,0.6,13,113.8,16,113.3,9,1.5,5,1,3,7.9,20,111.6,2,103.7,1,8.8
Toronto,15,0.7,13,15,46.4%,42.7,14.6,26,-1.6,14,113.2,10,112.5,21,-1.4,2,5,19,-0.5,9,114.8,20,115.3,28,-7.0
Philadelphia,7,2.8,15,12,55.6%,48.1,15.8,21,-0.8,15,113.2,6,110.4,11,1.3,3,2,4,7.7,2,119.6,13,112.0,10,1.7
Milwaukee,3,5.7,20,7,74.1%,55.3,18.2,4,1.8,16,112.9,1,107.2,17,-0.3,5,2,6,5.5,14,113.2,5,107.7,16,-0.4
Washington,22,-2.2,11,18,37.9%,35.6,12.6,25,-1.6,17,112.5,23,114.6,19,-0.9,0,7,26,-7.1,15,113.1,26,120.3,23,-4.0
Indiana,21,-1.3,15,14,51.7%,37.6,13.3,6,1.7,18,112.5,19,113.8,12,1.3,3,5,22,-3.4,19,111.7,19,115.1,20,-1.7
Chicago,17,-0.3,11,16,40.7%,40.2,13.2,29,-2.2,19,111.8,9,112.1,14,0.8,2,4,13,1.2,16,112.6,11,111.4,14,1.3
Minnesota,20,-1.2,13,15,46.4%,37.8,12.9,14,0.1,20,111.5,13,112.7,30,-4.9,2,4,25,-5.8,25,109.9,22,115.7,25,-5.8
LA Lakers,23,-2.3,11,16,40.7%,35.1,11.5,18,-0.5,21,111.4,18,113.7,15,0.7,3,4,23,-3.9,8,114.8,24,118.7,12,1.6
Detroit,28,-6.7,8,22,26.7%,25.0,9.1,23,-1.1,22,111.1,29,117.8,13,0.9,3,4,15,0.6,11,114.5,18,113.8,6,7.5
Oklahoma City,25,-2.8,11,17,39.3%,33.9,11.6,19,-0.6,23,111.1,20,113.9,6,2.8,2,4,24,-5.6,28,109.7,21,115.3,9,1.8
Atlanta,24,-2.5,14,15,48.3%,34.7,12.3,5,1.7,24,110.7,15,113.2,27,-3.1,2,5,30,-11.4,29,108.1,25,119.5,29,-7.2
Orlando,26,-4.3,9,20,31.0%,30.3,10.7,27,-1.7,25,110.5,24,114.8,8,1.6,4,3,17,0.2,13,113.7,17,113.5,2,8.2
Miami,19,-1.0,14,15,48.3%,38.4,13.6,11,0.4,26,110.4,7,111.4,26,-2.9,4,3,21,-1.9,30,107.7,7,109.5,27,-6.5
Houston,27,-5.5,9,18,33.3%,27.5,9.0,15,0.0,27,109.8,25,115.3,7,2.6,4,2,16,0.5,23,111.2,10,110.7,4,7.9
San Antonio,30,-10.4,9,19,32.1%,18.0,6.2,1,2.8,28,109.5,30,119.9,29,-3.9,3,3,29,-9.2,21,111.6,28,120.8,21,-1.8
LA Clippers,18,-0.9,17,13,56.7%,38.7,14.2,2,2.8,29,109.2,5,110.1,22,-1.6,4,3,14,0.9,24,111.2,8,110.3,15,0.6
Charlotte,29,-7.3,7,21,25.0%,23.5,8.0,22,-1.0,30,108.3,27,115.5,23,-2.0,1,6,27,-8.7,12,113.8,30,122.5,23,-4.0
